ID,Check,Statuc,Comment
,Exploring game locations,,
1.,Find objects,Pass,
1.1.,Inspection of items,Pass,
1.2.,Interaction of character items with other items,Pass,
1.3.,Interaction with objects,Pass,
1.4.,Photographing objects,Pass,
2.,Time manipulation,Pass,
3.,Inspection of the journal,Fail,Bug №1
4.,Communication with characters,Pass,
4.1.,Character Inspection,Pass,
4.2.,Talking to characters,Pass,
4.2.1,Important choices in conversations with characters,Pass,
,Platform,,
1.,"Samsung Galaxy A55
Android 15, One UI 7.0",Pass,
2.,"Xiaomi Mi 8 Lite 
MIUI Global 12.0.3",Fail,Not supported
,Settings,,
1.,Language,Pass,
2.,English,Pass,
3.,Chinese,Fail,Bug №2
4.,Spanish,Pass,
5.,Polish,Pass,
,Volume,,
1.,High,,
1.1,In main menu,Pass,
1.2,in-game,Pass,
2.,Low,,
2.1,In main menu,Pass,
2.2,in-game,Pass,
3.,Medium,,
3.1,In main menu,Pass,
3.2,in-game,Pass,
,Achievement ,,
1.,Obtaining the achievement ID 001,Pass,
2.,Obtaining the achievement ID 002,Pass,
3.,Obtaining the achievement ID 003,Pass,
,Save,,
1.,Saving in the main menu,Pass,
2.,Saving in-game,Pass,
3.,Saving during a cut scene,Pass,