Category,Check,"Samsung Galaxy A55
Android 15, One UI 7.0","Xiaomi Mi 8 Lite 
MIUI Global 12.0.3",Comment
Shop,Purchase,Pass,Pass,
,Ammo,Pass,Pass,
,Skills,Pass,Pass,
,Coins,Pass,Pass,
,Equipment,Pass,Pass,
Upgrades,Guns,Pass,Pass,
,Armor,Pass,Pass,
,Locks,Pass,Pass,
,protection,Pass,Pass,
Gameplay,Shooting,Pass,Pass,
,"Activating ""Shield"" bonus",Pass,Pass,
,Switching ammo types,Pass,Pass,
Daily Reward,Roulette Reward,Pass,Failed,Need to update system
,Daily reward,Pass,Failed,Need to update system